py_name,kr_name,jp_name,teacher,bio,birth_date,death_date,display_birth_date,display_death_date,works,links
Zhixian,,Chisen,Daman Hongren,,609,702,609,702,,
Beom Nang,,,Dayi Daoxin,"The initial transmission of Seon into Korea is usually attributed to Beomnang, said to be a student of the Chinese master Daoxin.",,,610,680,,https://en.wikipedia.org/wiki/Nine_mountain_schools
Potsaoto,,Hasoda,Sungyueh Huian,Potsaoto got his nickname from an episode when he broke the sacrificial ovens of a mausoleum that was used for animal sacrifices.,,,620,700,,
Yuankuei,,Genkei,Sungyueh Huian,,,,620,700,,
Jenchien,,Ninken,Sungyueh Huian,"When he was asked by the empress for an audience, he entered her room, was silent for some time, then asked: 'Do you understand?' 'Not at all,' she replied. 'I keep my vow of silence,' he concluded and left.",,,620,700,,
Huifang,,Eho,Chihyen,,,,622,695,,
Fachih,,Hoji,Huifang,Was a disciple of Hongren before becoming Huifang's dharma successor.,635,702,635,702,,
Faru,,Honyo,Daman Hongren,The concept of a lineage seems to have originated with either him or his immediate followers,638,689,638,689,,
Dajian Huineng,,Daikan Eno,Daman Hongren,6th Patriarch.,638,713,638,713,The Platform Sutra,
Zhiwei,,Chii,Fachih,Credited with the actual formation of the Niutou zong lineage independent from the Northern and Southern schools of Zen with a strong prediliction towards emptiness and prajnaparamita.,646,722,646,722,,
Songshan Puji,,,Yuquan Shenxiu,"In Chinese, ""Universal Quiescence”; CHAN monk and disciple of SHENXIU (606?–706) in the so-called ""Northern School” (BEI ZONG) of the early Chan tradition. In his youth, Puji is said to have studied a wide range of Buddhist scriptures before ordaining at the age of thirty-eight. Soon afterwards, he left to study with Shenxiu at Yuquansi (Jade Spring Monastery) on Mt. Dangy ang in Jingzhou. As the best-known disciple of Shenxiu, Puji was one of the subjects of a series of polemical attacks by the HEZE SHENHUI (684–758) beginning in 732. Shenhui denounced Puji and other disciples of Shenxiu as representing a mere collateral branch of BODHIDHARMA's lineage and for promoting what Shenhui called a ""gradual” (jian) approach to enlightenment. Shenhui instead promoted a ""sudden teaching” (DUNJIAO), which he claimed derived from a so-called ""Southern school” (NAN ZONG) founded by HUINENG (638–713), whom Shenhui claimed was the true successor of the fifth patriarch HONGREN (601–74). Later Chan historians such as GUIFENG ZONGMI (780–841) came to refer to a ""Northern school” (Bei zong) of Chan to describe this lineage of Shenxiu's, to which Puji, Yifu (661–736), and XIANGMO ZANG (d.u.) were said to have belonged.",651,739,651,739,,https://terebess.hu/zen/mesterek/Puji.html
Qingyuan Xingsi,,Seigen Gyoshi,Dajian Huineng,A monk asked Qingyuan: 'Why did Bodhidharma come to China?'<br>Qingyuan: 'He went off again somewhere.'<br>Monk: 'I ask you for one or two words of wisdom.'<br>Qingyuan: 'Come closer!' <br>The monk obeyed. <br>Qingyuan: 'Write it down clearly.' ,660,740,660,740,,
Yongjia Xuanjue,,Yoka Genkaku,Dajian Huineng,Meeting with Huineng is described in the Platform Sutra.,665,713,665,713,Shodoka,
Kutta Sanzo,,Kutta Sanzo,Dajian Huineng,"Only mentioned in Blyth and Osho. Of Indian origin. Said: 'Even the lowest heretics in the India I come from don't fall as low as that! Just to sit emptily and aimlessly, -- what can it profit you?",,,665,713,,
Helin Xuansu,,Kakurin Genso,Zhiwei,May have been a teacher of Fahai who then studied with Huineng and compiled the Platform Sutra.,668,752,668,752,,
Nanyang Huizhong,,Nanyo Echu,Dajian Huineng,"The use of the circle as a Zen symbol is said to have originated with National Teacher Nanyang Huizhong. The circle represents the universe, ultimate truth, Buddhism, and so on. Everybody is encircled in it; no one can get out of it. But in Zen you are supposed to embody it in yourself.",675,775,675,775,,
Nanyue Huairang,,Nangaku Ejo,Dajian Huineng,"One day as Mazu was meditating, Nanyue went to visit him and found him sitting outside. The master asked him, ""What do you intend to accomplish by sitting in meditation?"" Mazu said, ""I intend to become an awakened one."" The master then picked up a piece of ceramic roofing tile from the ground and began polishing it. Mazu asked, ""What are you doing?"" The master said, ""I'm polishing this tile to make a mirror."" Mazu asked, ""How are you going to make a mirror by polishing a tile?"" The master said, ""How are you going to make an awakened one by sitting in meditation?"" Mazu was taken aback. After a pause he asked, ""What is the correct way?"" The master said, ""Think about driving an ox-cart. When it stops moving do you whip the cart or the ox?"" Mazu didn't answer. Then Master Nanyue said, ""Is your sitting an attempt to practice Zen, or to be an awakened one? If you really understand what Zen-sitting is, you'd know that Zen is not about sitting or lying down. If you want to know the sitting of an awakened one, then you must understand that awakening has no fixed form. In this ephemeral, changing world, you should give up both grasping and rejecting. If you sit in order to become awakened, you destroy awakening. If you're attached to the form of sitting, then you haven't yet reached the essential understanding. When Mazu heard this, he felt like he had drunk sweet nectar.",677,744,677,744,,
Huichung,,Echu,Zhiwei,Huichung is the last master of the Niutou school. It is said that Dengyo Daishi learned Niutou Zen from Shukunen,683,769,683,769,,
Heze Shenhui,,Kataku Jinne,Dajian Huineng,"Heze had studied the sutras, the daoist texts, and the Chinese classics by the time he was thirteen. That is when he met Huineng and became his disciple. Shenhui is notable for his strident attacks on Yuquan Shenxiu and the associated 'Northern School' (likely an invention of his). It is possible he is the actual author of the Platform Sutra",670,762,684,758,,
Shitou Xiqian,,Sekito Kisen,Qingyuan Xingsi,"Soto Zen descends through him. For a time, he lived in a hermitage on a rock hence his name (master stonehead). Once a monk asked Master Shitou, ""What's the significance of Bodhidharma's coming from India?"" The master said, ""Ask the post over there."" The monk said, ""I don't understand."" The master said, ""I don't understand either.""",700,790,700,790,"Sandokai , Song of the Grass Hut",
Sin Haeng,,,Beom Nang,Sin Haeng also studied with Songshan Puji (651–739) a successor of Yuquan Shenxiu,704,779,704,779,,https://en.wikipedia.org/wiki/Nine_mountain_schools
Mazu Daoyi,Ma Jo,Baso Doitsu,Nanyue Huairang,"Founder of the Hongzhou school; said to have transmitted the dharma to 84 disciples (some sources say 139), of whom 13 are particularly well-known. Of the ""Five Houses of Zen"", two emerged from Mazu's descendants: the Linji (Rinzai) and Guiyang (Igyo) Houses. Certain distinctive attributes of Linji Zen are already evident in the record we have of Mazu, Linji's dharma great-grandfather. For instance, many of the teaching devices that came to be identified with Zen, especially Linji's Zen -- e.g., shouts, blows, enigmatic questions -- were first used by Mazu.
<br>Appears in: GG30, GG33, BCR3/BOS36, BCR73/BOS6, BCR53.",709,788,709,788,"Cheng Chien Bhikshu (Mario Poceski), intro and trans, Sun-Face Buddha: The Teachings of Ma-tsu and the Hung-chou School of Ch'an (1992). Mario Poceski, The Records of Mazu and the Making of Classical Chan Literature (2015). Fumio Yamada (Nick Bellando, trans), Master Ma's Ordinary Mind: The Sayings of Zen Master Mazu Daoyi (2017).",
Jingshan Daoqin,,Kinzan Dokin,Helin Xuansu,"Founder of Mojuji Temple, he was a Confucian at first, but converted when he met Xuansu at 28.",714,792,714,792,,
Baizhang Huaihai,Baek Jang,Hyakujo Ekai,Mazu Daoyi,"Born to a powerful aristocratic family on the eastern seaboard province of Fuzhou (modern Fujian). Well-educated as a child, he entered monastic life as a teen under the teacher Huizhao, where the older novice who would become Master Yaoshan was also studying. After his full ordination at Mt. Heng, he moved to Lujian (in modern Anhui province) where he studied Buddhist scriptures. Then, while still in his twenties, he sought out Master Mazu at Gonggong Mountain in southern Jiangxi and became his disciple.
Baizhang established an early set of rules for Chan monastic discipline, the Pure Rules of Baizhang, and is also credited with originating the Chinese tea ceremony. He founded Baizhang monastery, which contained a monks hall, an innovation which became typical for Chan. Both the lifestyle he spelled out as well as the architectural form of his monastery became models for later Zen monasteries. As the Zen monks farmed, it helped them to survive the Great Anti-Buddhist Persecution more than other sects which relied more on donations. Baizhang's rules are still used today in many Zen monasteries. His rules include the aphorism, ""A day without work is a day without food.""
Appears in: BCR73/BOS6, BCR53, BOS8, GG2, BCR26, BCR70, BCR71, BCR72, GG40",720,814,720,814,,
Panshan Baoji,Ban Sahn,Banzan Hoshaku,Mazu Daoyi,"His parents' home was in ancient Youzhou (near present-day Beijing). After receiving Dharma transmission from Mazu, Panshan became the abbot of the Youzhou monastery in Hebei Province.
<br>Appears in: BCR37",720,814,720,814,,
Magu Baoche,Ma Gok,Mayoku Hotetsu,Mazu Daoyi,"Little is known of Magu who lived at Mount Magu in Puzhou in the southern part of modern Shanxi. He is identified by certain old commentators as Baoche, the first abbot of the monastery at Mount Magu and one of Mazu Daoyi's heirs. However, Baoche was considerably older than Linji, so other commentators suggest that the Mayu mentioned in the Linji-lu is Baoche's disciple, who was presumably the second abbot of Magu. In the Linji-lu Magu appears twice, but it is clear that these are merely two accounts of the same incident.
<br>Appears in: BCR31",,,720,790,,
Cizhou Faru,,Zhiru,Heze Shenhui,,723,811,723,811,,
Danyuan Yingzhen,Chim Won,Tangen Oshin,Nanyang Huizhong,"Danyuan Yingzhen appears in Blue Cliff Records 18, Book of Serenity 85 and Gateless Gate 17.",,,730,810,,
Dadian Baotong,,Daiten Hotsu,Shitou Xiqian,"A monk asked Baotong: 'How many springs and autumns have you seen?' Baotong held up his beads and asked: 'Do you understand?' The monk answered no. Baotong said, 'Both in the day time and in the night time there are a hundred and eight. Later when he was asked for a different answer Baotong just shit his teeth together three times",,819,732,819,,
Xitang Zhizang,Ji Jang,Seido Chizo,Mazu Daoyi,"Came from Qianhua City in ancient Qian Province. When young, he had an unusually noble appearance. People said that he would likely be an ""assistant to the Dharma King"" (a servant of Buddha). After receiving ordination at the age of twenty-five, he went traveling, and finally came to study under Mazu Daoyi. In 788, he became Abbot of Saido Temple in Kwangsi Province. Though none of his heirs are listed on the Chinese charts, his disciples included Korean monks Jilin Daoyi and Hongshe. These two adepts transmitted Zen to their native country. There, they helped to establish the ""Nine Mountains"" nine prominent schools of Korean Zen.
<br>Appears in: BCR73/BOS6",735,814,735,814,,
Danxia Tianran,Dan Ha,Tanka Tennen,Shitou Xiqian,"Danxia came from Dengzhou. In his youth, he prepared for a career in administration, becoming well educated in Confucian texts. While traveling to the capital, Chang'an, to take the civil service examination, he had a dream that the whole room was filled with white light. Asking a fortune teller about this dream, he was told that his dream foretold a solution to emptiness. He then met a Chan monk, who asked him what his goal was. ""I've decided to become a functionary,"" said Danxia. ""What does the decision to become a functionary amount to compared with the decision to become a buddha?"" replied the monk. ""Where can I go if I want to become a buddha?"" Danxia then asked. The monk suggested that he seek out the great Chan master Mazu, whereupon Danxia unhesitatingly set out to do so. Mazu soon sent him on to Shitou, under whom Danxia trained for some years. He went on to become one of Shitou's dharma successors. Later he returned to Mazu. Arriving in Mazu's monastery he sat himself astride the neck of a statue of Manjushri. The monks, upset by the outrageous behavior of the newcomer, reported this to Mazu, who came to see Danxia. ""You are very natural, my son,"" said Mazu. From this incident Danxia's monastic name Tianran (the Natural) is derived. After the death of Mazu, Danxia went on wandering pilgrimage and visited other great Chan masters of the time in order to train further. For three years he practiced in the monastery at the top of Huading Tiantai mountains. He also practiced for a time with master Jingshan Daoqin (714-792) from niutou school. During his wandering years he stopped to spend the night in a Ch'an temple. The night being cold, he took a wooden buddha off the shrine, made a fire with it, and warmed himself. When the head monk took him to task, Danxia said, ""I'll get the bones of the Buddha out of the ashes."" ""How can you expect to find Buddha's bones in wood?"" asked the head monk. Danxia replied, ""Why are you berating me then for burning the wood?!""
<br>At the age of eighty-one, he settled in a hermitage on Mount Danxia (in Hunan Province) from which his name is derived. Soon up to 300 students gathered there around him and built a monastery. Four years after his arrival on Mount Danxia, he suddenly said one day, ""I'm going on a journey once again."" He picked up his hat and his pilgrim's robe and staff. When he had put on the second of his pilgrim's sandals, he passed away before his foot again touched the ground. Posthumous title: Zhitong chanshi (chan master pervading wisdom).
Appears in: BCR76",739,824,739,824,,
"Pang Yun ""Layman Pang""",,Ho Koji,Mazu Daoyi,"Master Pangyun was born and grew up in Xiangyang city, Hubei, the son of a government official. When his father was transferred to Hengyang in Hunan, the young man joined him, and in this new city he married and had a daughter. Disillusioned with conventional life early on, Pang resisted the bureaucratic life expected of him, and managed to avoid a government post. Instead he devoted himself to spiritual practice, building a hermitage beside his house where he could focus on meditation. As he became more committed to simplicity, and had been joined by his wife in this pursuit, they donated their house to be made into a temple, and moved into the hermitage. Then they loaded all their valuable possessions onto a raft and sank it in a nearby lake. When asked why he didn't just give them away, Pang said that they had been a source of anxiety for him, and an impediment to the way. How could he wish that on someone else?
<br>After this the Pang family began living off a meager income from crafting and selling bamboo utensils in the street. Soon the layman, already in his forties, decided to travel to meet teachers, and he first set off for the Heng Mountains to the north. There he found his way to the practice place of Master Shitou.
<br>Eventually Pangyun travelled to Jiangxi to meet Master Ma. He asked his old question, ""Who is the one who isn't attached to the ten thousand things?""
Master Ma said, ""When you swallow all the water in the West River in one gulp, then I'll tell you.""
Hearing these words, Pang had another liberating awakening, and all his doubts were resolved. He practiced with Mazu for two years, and then continued his travels and encounters with other monks and teachers.
He stayed for awhile on Medicine Mountain with Master Shitou's disciple Master Yaoshan, and also became close friends with another of Shitou's disciples, the irreverent and free-spirited adept Danxia Tianran. Between excursions he would return to his wife and daughter in Hengyang.
<br>Both his wife and daughter had also become deeply devoted to the spiritual path, and all three were eventually recognized for their clear wisdom. The layman was particularly close to his precocious daughter Lingzhao whose sharp wit could often outdo her father.
<br>Toward the end of his life Pangyun traveled north toward his birthplace of Xiangyang with his beloved daughter Lingzhao, herself now an adept. The two found a cave south of Deer Gate Mountain in Xiang province, and there settled into retreat for the last years of Pangyun's life.",740,808,740,808,The Recorded Sayings of Layman Pang,https://terebess.hu/zen/pang.html
Niaoge Daolin,,Choka Dorin,Jingshan Daoqin,"Daolin became a monk at 9 and later would meditate up a tree for long periods of time hence his nicknames. He had a famous conversation with Bai Juyi (Haku Rakuten).<br>Juyi: 'What is the essence of Buddhism?'<br>Daolin: 'Not to do any evil, to do all good, to purify oneself, this is the teaching of all Buddhas'<br>Juyi: 'Any child of three knows that.'<br>Daolin: 'That is so, any child of three knows it, but even a man of eighty can't do it.'",741,824,741,824,,
Guizong Zhichang,,Rozan Kish_ Ji Chij_,Mazu Daoyi,,,812,742,812,,
Yaoshan Weiyan,,Yakusan Igen,Shitou Xiqian,Notes.,745,828,745,828,,
Yizhou Nanyin,,,Cizhou Faru,,,,745,810,,https://www.bowzwestchester.org/p/characters.html
Nanquan Puyuan,Nam Cheon,Nansen Fugan,Mazu Daoyi,"He came from Xinzheng, Zheng. In the year 795, after his enlightenment experience under M_z_, he settled in a self-made hut on Mount Nanquan, from which his dharma name is derived, and lived there in eremitic solitude for three decades. In time, monks persuaded him to come down the mountain and found a monastery; from that time forward, he always had hundreds of students. Nánquán had seventeen Dharma successors, the most famous of whom was Zhàozh_u. His lay surname was Wang, and even before he became an old Zen teacher his students referred to him as ""Old Teacher Wang."" Before meeting Mazu, he was already widely versed in the various schools and scriptures of Mahayana Buddhism. At their first meeting, he is said to have ""instantly forgot the net of delusions and delighted in samadhi.""
<br>Appears in: BCR63/GG14/BOS9, BCR64/GG14/BOS9, GG19, GG27, BCR28, GG34, BCR31/BOS16, BCR40/BOS91, BCR69, BOS69, BOS93, BOS23, GG46/BOS79",748,835,748,835,,
Tianhuang Daowu,,Tenno Dago,Shitou Xiqian,"Studied with Mazu for 2 years before coming to study under Shitou. Once a monk asked Master Daowu, ""What is the matter that has been passed down through the generations?"" The master said, ""Nothing else than knowing where you come from."" The monk asked, ""How many can develop this wisdom eye?"" The master said, ""Short grasses naturally become tall reeds.""",748,807,748,807,,
Changzi Kuang,,Choshi,Shitou Xiqian,"The monk Changzi Kuang once returned from a pilgrimage to continue his study with Master Shitou.  The master asked him, ""Where have you been?"" Kuang said, ""To Master Huineng's memorial shrine at Caoxi."" The master asked, ""Did visiting there bring you any merit?"" Kuang said, ""I've had some insight, but I haven't been able to 'open the eyes' of the awakened one."" The master said, ""Do you want to 'open the eyes'?"" Kuang said, ""Please, master, help me do so."" The master suddenly kicked out his leg right at the monk. Kuang had a deep realization, and made a prostration. The master asked, ""Why do you bow?"" Kuang said, ""It's like a flake of snow landing on a red-hot furnace.""",750,820,750,820,,
Yanguan Qian,Yom Kwan,Enkan Seian,Mazu Daoyi,"Master Yanguan Qi'an was from Haiting county in the modern province of Zhejiang. He grew up in a prominent wealthy family that had relations to the Tang royalty. Entering the monastic life in his youth at a local temple, he later received full ordination at Hengshan in Hunan. Soon after he traveled to Jiangxi where he first encountered Master Ma at Gonggong Mountain. He became a student of the master just before the master's move north, and then followed him to the new monastery in Hongzhou. Studying with the master for many years, he became one of Mazu's most senior disciples.<br>
After the passing of Master Ma, Qi'an was invited to teach in several places, and he eventually settled in a monastery built for him in Yanguan (near Hangzhou in his native province). Helped, no doubt, by his family connections, he soon became a famous teacher and was visited by numerous scholars and dignitaries as well as training monks.<br>
Master Yanguan was once visited by a Japanese monk on a mission from the Empress Tachibana Kachiko of Japan. The monk asked Master Yanguan if he had a disciple he could send to Japan to instruct the Empress, who had become interested in Zen teaching after hearing about it from the monk Kukai, the founder of Japanese esoteric Buddhism (who had traveled in China). Master Yanguan sent his disciple Yikung, who thus became the first Zen teacher in Japan, and the Empress, who later became a nun, became the first Zen student. Yikung, however, eventually returned to China without establishing an enduring following in Japan.<br>
Toward the end of Master Yanguan's long life, the Emperor Wuzong came to power and began to implement a persecution of Buddhist institutions and clergy. Probably because of Yanguan's high-placed connections, his monastery was relatively protected from destruction, and from the defrocking of monks that went on elsewhere. Li Chen, the expected future emperor, came to the safe haven of Yanguan's monastery to keep a low profile for a while during the politically turbulent times. Greatly impressed by the master, when he eventually ascended to the throne and became Emperor Xuanzong, he ended the persecutions and became a generous supporter of the monastic order.
<br>Appears in: BCR91",750,843,750,843,,"http://www3.telus.net/public/sarlo/Oshobob/Yanguan.htm
https://terebess.hu/zen/yanguan.html"
Luzu,,,Mazu Daoyi,,,,750,820,,
Zhongyi,,,Mazu Daoyi,,,,750,820,,
Wujiu,,,Mazu Daoyi,,,,750,820,,
Damei Fachang,,Daibai Hojo,Mazu Daoyi,,752,839,752,839,,
Doui,,,Xitang Zhizang,"Korean, also studied with Baizhang. Went to China in 784 and came back to Korea in 818. Established the Gaji San school of Seon (one of the Nine Mountain Schools of Korean Seon) with his grand-student Chejing (804-890)",,825,755,825,,https://en.wikipedia.org/wiki/Nine_mountain_schools
Zhangjing Huaiyun,Jang Gyeong,Shokei,Mazu Daoyi,"He came from Quanzhou (near modern Fuzhou in Fujian Province). He began study under Mazu and later became his Dharma heir. Thereafter he lived at a succession of mountains and temples. In 808, at the emperor's behest, he took up residence at Zhangjing Temple in Changan, the capital city.
Appears in: BCR31",756,815,756,815,,
Daowu Yuanzhi,Do Oh,Dogo Enchi,Yaoshan Weiyan,"Sometimes referred to as Yunyan's brother
<br>Appears in: BCR89, REH14",769,835,760,835,,"http://www3.telus.net/public/sarlo/Oshobob/Daowu-Yuanzhi.htm
https://www.bowzwestchester.org/p/characters.htm"
Ling Zhao,,,"Pang Yun ""Layman Pang""","A visitor asks the Layman whether Zen is easy or difficult. He says it's very difficult, like trying to scatter sesame seeds over a tree. The visitor walks a little further and asks the Layman's wife. She says it is easy, like touching your feet to the ground when you get out of bed. The visitor walks a little farther, sees Ling Chao, and asks the same question. Versions of her response differ, here's one: not difficult, not easy, when hungry eat, when tired sleep.",,,765,808,,
Huangbo Xiyun,Hwang Beok,Obaku Kiun,Baizhang Huaihai,"Born in Fujian, China, Huangbo began his monastic life on Mt. Huangbo (he would later teach at a different monastery with the same name) in Fujian province. During his period of traveling around seeking instructions from various Chan masters, he visited Mt. Tiantai and received teachings from National Teacher Nanyang Huizhong (675-775). He may also have studied briefly under Nanquan Puyuan (748-835) before settling down with Baizhang Huaihai. When Huangbo, who was quite tall, first met Baizhang, Baizhang exclaimed, ""Magnificent! Imposing! Where have you come from?"" Huangbo replied, ""Magnificent and imposing, I've come from the mountains.""
In 842, Pei Xiu, a government official in Kiangsi province, invited Huangbo to be resident teacher at Lung-hsing Monastery. Pei eventually built a monastery for Huángbò around 846, which the master named Huangbo after the mountain where he had been a novice monk.
Central teaching: centered on the concept of ""mind"" (or ""heart/mind"") Mind cannot be sought by the mind. ""Mind is the Buddha,"" he said. ""All the Buddhas and all sentient beings are nothing but the One Mind, beside which nothing exists. The One Mind alone is the Buddha, and there is no distinction between the Buddha and sentient beings."" And: ""To awaken suddenly to the fact that your own Mind is the Buddha, that there is nothing to be attained or a single action to be performed - this is the Supreme Way.""
As many of Huangbo's themes and phrasings are echoed in the record of his student, Linji, Huangbo is sometimes regarded as the true founder of the Linji school.
Posthumous name: Tuan Chi Chan Shih (Chan Master Without Limits)
<br>Appears in: GG2, BCR11/BOS53, BOS86",,850,770,850,"Books: John Blofield, trans. The Zen Teachings of Huang Po: On the Transmission of Mind (includes translations of two texts: the Ch'uan-hsin Fa-yao (Essential of Mind Transmission) and the Wan-ling Lu, both transcribed by Huangbo's student, Pei Xiu, with editing and emendation by Huangbo's senior monks.)",
Suizhou Daoyuan,,,Yizhou Nanyin, Not much known about him.,,,770,840,,
Longtan Chongxin,,Ryutan Sushin,Tianhuang Daowu,"Longtan came from a poor family, who made their living by selling pastry. Tao-wu master knew him as a boy, and recognized in him great spiritual potentialities. He housed his family in a hut belonging to his monastery. To show his gratitude, Longtan made a daily offering of ten cakes to the master. The master accepted the cakes, but every day he consumed only nine and returned the remaining one to Longtan, saying, ""This is my gift to you in order to prosper your descendants."" One day, Longtan became curious, saying to himself, ""It is I who bring him the cakes; how is it then that he returns one of them as a present to me? Can there be some secret meaning in this?"" So the young boy made bold to put the question before the master. The master said, ""What wrong is there to restore to you what originally belonged to you?"" Longtan apprehended the hidden meaning, and decided to be a novice, attending upon the master with great diligence. After some time, Longtan said to the master, ""Since I came, I have not received any essential instructions on the mind from you, master."" The master replied, ""Ever since you came, I have not ceased for a moment to give you essential instructions about the mind."" More mystified than ever, the disciple asked, ""On what points have you instructed me?"" The master replied, ""Whenever you bring me the tea, I take it from your hands. Whenever you serve the meal, I accept it and eat it. Whenever you salute me, I lower my head in response. On what points have I failed to show you the essence of the mind?"" Longtan lowered his head and remained silent for a long time. The master said, ""For true perception, you must see right on the spot. As soon as you begin to ponder and reflect, you miss it."" At these words, Longtan's mind was opened and he understood. Then he asked how to preserve this insight. The master said, ""Give rein to your Nature in its transcendental roamings. Act according to the exigencies of circumstances in perfect freedom and without any attachment. Just follow the dictates of your ordinary mind and heart. Aside from that, there is no 'holy' insight."".",,,770,850,,
Guishan Lingyou,Wi Sahn,Isan Reiyu,Baizhang Huaihai,"Guishan and his disciple, Yangshan, are the founders of the Gui-Yang House, the first of the fabled ""Five Houses of Zen."" Born in Changxi, Fujian province, he became a Buddhist monk at age 15, and received tonsure ceremony at Shanjian (Build Goodness) Temple in Fujian. He received the monastic precepts at Longxing Temple in Hangzhou where he studied sutra and Vinaya Pitaka. In 794, at age 23, he traveled to Jianxi to study under Baizhang Huaihai. Baizhang permitted Guishan to become his disciple upon their first meeting. In 820, at age 49, he became the abbot of Tongqing Temple in Guishan, Hunan Province. The Guiyang school is characterized by use of symbols, symbolic actions, and metaphors, thus Guiyang Zen is the Zen school most closely aligned to Buddhsm's esoteric schools.
Appears in: BCR70, BOS83, GG40, BCR4, BCR24/BOS60, BOS15, BOS37",771,853,771,853,,
Wufeng Changguan,,,Baizhang Huaihai,,,,774,844,,https://www.bowzwestchester.org/p/characters.html
Zhaozhou Congshen,Joju,Joshu Jushin,Nanquan Puyuan,"Taught at Guanyin Monastery, Zhao Regeion (Hebei). Posthumous name: Great Master Zhenji. At age 18, Zhaozhou met Nanquan, with whom he practiced until Nanquan's death, when Zhaozhou was about 57. After that, Zhaozhou spent more than 20 years on pilgrimage, visiting various prominent Chan masters. At age 80, he settled at Guanyin and for the next 40 years taught a small group of monks until his death at age 120. Zhaozhou is often regarded as the greatest Chan master of Tang dynasty China. Because of the many wars and purges of Buddhism in the China of the time, Zhaozhou's lineage died out quickly -- he had one heir, Yanyang, and he had no known heirs.
<br>Appears in: GG14/BCR63-64/BOS9, GG19, GG1, BOS18, GG7/BOS39, GG11, GG31/BOS10, GG37/BOS47, BCR2, BCR9, BCR30, BCR41/BOS63, BCR45, BCR52, BCR57, BCR58, BCR59, BCR80, BCR96, BOS57",778,897,778,897,"Radical Zen: The Sayings of Joshu (Trans with commentary by Yoel Hoffman, 1978). The Recorded Sayings of Zen Master Joshu (Trans and introduced by James Green, 2001).",
Guifeng Zongmi,,Keiho Shumitsu,Suizhou Daoyuan,"Zongmi was also the 5th patriarch of the Huayan school. Zongmi advocated 'sudden enlightenment' followed by 'gradual cultivation' uniting the teachings of the Southern and Northern schools of Zen. He also divided Zen into 5 types and wrote many manuals on meditation and commentaries on sutras. Zongmi's epitaph listed over ninety fascicles he had written. Through his writing, he was very influencial on Chinul and Korean Seon.",780,841,780,841,"Inquiry into the Origin of Humanity , Chan Preface",
Baizhang Niepan,,Hyakuo Nehan,Baizhang Huaihai,"Little is recorded of Baizhang Niepan's life. Upon the death of his teacher, he assumed the abbacy of his temple.",,,780,850,,
